issue_number,scan_title,scan_browser,scan_color_scheme,scan_viewport_preset,scan_viewport_width,scan_viewport_height,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
357,https://www.rijksoverheid.nl,chromium,both,mobile-landscape,844,390,https://www.rijksoverheid.nl,https://www.rijksoverheid.nl/,200,true,false,45281,true,1218,45,12,50,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r18;https://alfa.siteimprove.com/rules/sia-r73,,true,1750,0,2,84,,,true,3099,56,19,37,50,0,aria_attribute_valid;aria_complementary_labelled;element_tabbable_unobscured;element_tabbable_visible;figure_label_exists;input_label_exists;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;style_viewport_resizable;text_block_heading,,false,0,0,0,0,0,0,,"page.addScriptTag: Executing inline script violates the following Content Security Policy directive 'script-src 'self' 'nonce-NWRmOTk2MzYtZGI4Zi00ZjYyLTljMGEtOGIxNjM3MWExNDE4' https://statistiek.rijksoverheid.nl https://*.rijksoverheid.nl https://*.platformrijksoverheid.nl https://*.contenttoolsrijksoverheid.nl'. Either the 'unsafe-inline' keyword, a hash ('sha256-KqJA1m/a7A+KctYBKJR75bChscDI9FIV+NeO58+zJmA='), or a nonce ('nonce-...') is required to enable inline execution. The action has been blocked.",true,566,27,116,2,QW-ACT-R25;QW-ACT-R76,,102,,Informatie van de Rijksoverheid | Rijksoverheid.nl
357,https://www.rijksoverheid.nl,chromium,both,mobile-landscape,844,390,https://www.rijksoverheid.nl/vraag-en-antwoord/overheidspersoneel/wat-zijn-de-arbeidsvoorwaarden-bij-de-overheid,https://www.rijksoverheid.nl/vraag-en-antwoord/overheidspersoneel/wat-zijn-de-arbeidsvoorwaarden-bij-de-overheid,200,true,false,27322,true,697,30,0,48,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r73,,true,1122,0,0,84,,,true,1931,40,18,22,37,0,aria_complementary_labelled;element_tabbable_visible;form_submit_button_exists;input_label_exists;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;style_viewport_resizable;text_block_heading;widget_tabbable_exists,,false,0,0,0,0,0,0,,"page.addScriptTag: Executing inline script violates the following Content Security Policy directive 'script-src 'self' 'nonce-NTU5MTg0MDEtNTcxMC00NWQ4LThmOWEtOTAyZTlhOWEyMWQ5' https://statistiek.rijksoverheid.nl https://*.rijksoverheid.nl https://*.platformrijksoverheid.nl https://*.contenttoolsrijksoverheid.nl'. Either the 'unsafe-inline' keyword, a hash ('sha256-KqJA1m/a7A+KctYBKJR75bChscDI9FIV+NeO58+zJmA='), or a nonce ('nonce-...') is required to enable inline execution. The action has been blocked.",true,372,14,49,8,QW-ACT-R30;QW-ACT-R76,,57,,Waar vind ik de arbeidsvoorwaarden bij de overheid? | Rijksoverheid.nl
357,https://www.rijksoverheid.nl,chromium,both,mobile-landscape,844,390,https://www.rijksoverheid.nl/vraag-en-antwoord/hoger-onderwijs/wanneer-moet-ik-collegegeld-betalen,https://www.rijksoverheid.nl/vraag-en-antwoord/hoger-onderwijs/wanneer-moet-ik-collegegeld-betalen,200,true,false,30008,true,737,31,0,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r73,,true,1152,0,0,84,,,true,1911,39,17,22,37,0,aria_complementary_labelled;element_tabbable_visible;form_submit_button_exists;input_label_exists;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;style_viewport_resizable;text_block_heading;widget_tabbable_exists,,false,0,0,0,0,0,0,,"page.addScriptTag: Executing inline script violates the following Content Security Policy directive 'script-src 'self' 'nonce-MzNlZTg1YmYtMjczOC00ZDhmLWE4NDUtMjUwMTc4MTAxZGRi' https://statistiek.rijksoverheid.nl https://*.rijksoverheid.nl https://*.platformrijksoverheid.nl https://*.contenttoolsrijksoverheid.nl'. Either the 'unsafe-inline' keyword, a hash ('sha256-KqJA1m/a7A+KctYBKJR75bChscDI9FIV+NeO58+zJmA='), or a nonce ('nonce-...') is required to enable inline execution. The action has been blocked.",true,376,10,48,5,QW-ACT-R76,,58,,Wanneer betaal ik wettelijk collegegeld en wanneer instellingscollegegeld? | Rijksoverheid.nl
357,https://www.rijksoverheid.nl,chromium,both,mobile-landscape,844,390,https://www.rijksoverheid.nl/actueel/agenda/2026/08/31/agenda-staatssecretaris-de-bat-week-36,https://www.rijksoverheid.nl/actueel/agenda/2026/08/31/agenda-staatssecretaris-de-bat-week-36,200,true,false,32395,true,896,26,0,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r68;https://alfa.siteimprove.com/rules/sia-r73,,true,1340,2,0,84,heading-order,,true,2029,37,16,21,34,0,aria_child_valid;aria_complementary_labelled;element_tabbable_visible;form_submit_button_exists;input_label_exists;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;style_viewport_resizable;text_block_heading;widget_tabbable_exists,,false,0,0,0,0,0,0,,"page.addScriptTag: Executing inline script violates the following Content Security Policy directive 'script-src 'self' 'nonce-OWFkNmZjMDYtNjdjOS00MzA2LWEzYjYtYzg3MzYyZDk1ZDhm' https://statistiek.rijksoverheid.nl https://*.rijksoverheid.nl https://*.platformrijksoverheid.nl https://*.contenttoolsrijksoverheid.nl'. Either the 'unsafe-inline' keyword, a hash ('sha256-KqJA1m/a7A+KctYBKJR75bChscDI9FIV+NeO58+zJmA='), or a nonce ('nonce-...') is required to enable inline execution. The action has been blocked.",true,461,9,41,5,QW-ACT-R38;QW-ACT-R76,,48,,Agenda staatssecretaris De Bat week 36 | Rijksoverheid.nl
357,https://www.rijksoverheid.nl,chromium,both,mobile-landscape,844,390,https://www.rijksoverheid.nl/documenten/2026/09/24/toespraak-mp-jetten-tijdens-de-algemene-vergadering-van-de-vn-2026,https://www.rijksoverheid.nl/documenten/2026/09/24/toespraak-mp-jetten-tijdens-de-algemene-vergadering-van-de-vn-2026,200,true,false,33777,true,1092,55,0,49,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r73,,true,1322,0,0,84,,,true,2265,39,17,22,37,0,aria_complementary_labelled;element_tabbable_visible;form_submit_button_exists;input_label_exists;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;style_viewport_resizable;text_block_heading;text_quoted_correctly;text_sensory_misuse;widget_tabbable_exists,,false,0,0,0,0,0,0,,"page.addScriptTag: Executing inline script violates the following Content Security Policy directive 'script-src 'self' 'nonce-MTRkNGE0ZjQtZWM0Yi00NjJiLWIyNGEtMzg1MmJmNWM3ODYy' https://statistiek.rijksoverheid.nl https://*.rijksoverheid.nl https://*.platformrijksoverheid.nl https://*.contenttoolsrijksoverheid.nl'. Either the 'unsafe-inline' keyword, a hash ('sha256-KqJA1m/a7A+KctYBKJR75bChscDI9FIV+NeO58+zJmA='), or a nonce ('nonce-...') is required to enable inline execution. The action has been blocked.",true,377,6,35,2,QW-ACT-R76,,75,,Toespraak minister-president Jetten tijdens de Algemene Vergadering van de Verenigde Naties 2026 | Rijksoverheid.nl
357,https://www.rijksoverheid.nl,chromium,both,mobile-landscape,844,390,https://www.rijksoverheid.nl/vraag-en-antwoord/landbouw-en-tuinbouw/wat-zijn-de-maximale-pachtprijzen-voor-landbouwgrond,https://www.rijksoverheid.nl/vraag-en-antwoord/landbouw-en-tuinbouw/wat-zijn-de-maximale-pachtprijzen-voor-landbouwgrond,200,true,false,35365,true,713,28,0,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r73,,true,1092,0,0,84,,,true,1835,38,18,20,36,0,aria_complementary_labelled;element_tabbable_visible;form_submit_button_exists;input_label_exists;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;style_viewport_resizable;text_block_heading;widget_tabbable_exists,,false,0,0,0,0,0,0,,"page.addScriptTag: Executing inline script violates the following Content Security Policy directive 'script-src 'self' 'nonce-NjI4ZDNiNjctOTdjZi00NjE1LTgxNDUtMzYwZmI2NDJkNzUx' https://statistiek.rijksoverheid.nl https://*.rijksoverheid.nl https://*.platformrijksoverheid.nl https://*.contenttoolsrijksoverheid.nl'. Either the 'unsafe-inline' keyword, a hash ('sha256-KqJA1m/a7A+KctYBKJR75bChscDI9FIV+NeO58+zJmA='), or a nonce ('nonce-...') is required to enable inline execution. The action has been blocked.",true,368,10,46,8,QW-ACT-R76,,53,,Wat zijn de maximale pachtprijzen voor landbouwgrond? | Rijksoverheid.nl
357,https://www.rijksoverheid.nl,chromium,both,mobile-landscape,844,390,https://www.rijksoverheid.nl/themas/recht-veiligheid-en-defensie/nieuw-wetboek-van-strafvordering/innovatiewet-strafvordering,https://www.rijksoverheid.nl/themas/recht-veiligheid-en-defensie/nieuw-wetboek-van-strafvordering/innovatiewet-strafvordering,200,true,false,35511,true,716,29,0,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r73,,true,1236,0,0,84,,,true,1775,37,19,18,36,0,element_tabbable_unobscured;element_tabbable_visible;form_submit_button_exists;input_label_exists;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;style_viewport_resizable;text_block_heading;widget_tabbable_exists,,false,0,0,0,0,0,0,,"page.addScriptTag: Executing inline script violates the following Content Security Policy directive 'script-src 'self' 'nonce-NDYyNDk4ZWMtZGE0Yy00M2M0LThjY2YtZTJjY2I0NmYxODVm' https://statistiek.rijksoverheid.nl https://*.rijksoverheid.nl https://*.platformrijksoverheid.nl https://*.contenttoolsrijksoverheid.nl'. Either the 'unsafe-inline' keyword, a hash ('sha256-KqJA1m/a7A+KctYBKJR75bChscDI9FIV+NeO58+zJmA='), or a nonce ('nonce-...') is required to enable inline execution. The action has been blocked.",true,522,9,121,4,QW-ACT-R76,,51,,Innovatiewet Strafvordering | Rijksoverheid.nl
357,https://www.rijksoverheid.nl,chromium,both,mobile-landscape,844,390,https://www.rijksoverheid.nl/themas/familie-zorg-en-gezondheid/levenseinde-en-euthanasie/euthanasieverzoek-bij-voltooid-leven,https://www.rijksoverheid.nl/themas/familie-zorg-en-gezondheid/levenseinde-en-euthanasie/euthanasieverzoek-bij-voltooid-leven,200,true,false,35811,true,611,29,0,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r73,,true,984,0,0,84,,,true,1675,37,17,20,35,0,aria_complementary_labelled;element_tabbable_visible;form_submit_button_exists;input_label_exists;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;style_viewport_resizable;text_block_heading;widget_tabbable_exists,,false,0,0,0,0,0,0,,"page.addScriptTag: Executing inline script violates the following Content Security Policy directive 'script-src 'self' 'nonce-M2ZkZTZjYWEtMzc5MS00YWU0LWFjZTItN2E1YWNiYjZiODg5' https://statistiek.rijksoverheid.nl https://*.rijksoverheid.nl https://*.platformrijksoverheid.nl https://*.contenttoolsrijksoverheid.nl'. Either the 'unsafe-inline' keyword, a hash ('sha256-KqJA1m/a7A+KctYBKJR75bChscDI9FIV+NeO58+zJmA='), or a nonce ('nonce-...') is required to enable inline execution. The action has been blocked.",true,316,6,44,3,QW-ACT-R76,,50,,Euthanasiewens zonder medische reden (voltooid leven) | Rijksoverheid.nl
357,https://www.rijksoverheid.nl,chromium,both,mobile-landscape,844,390,https://www.rijksoverheid.nl/themas/overheid-en-democratie/overheidspersoneel/diversiteit-overheidspersoneel,https://www.rijksoverheid.nl/themas/overheid-en-democratie/overheidspersoneel/diversiteit-overheidspersoneel,200,true,false,36194,true,689,32,0,47,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r73,,true,1090,0,0,84,,,true,1789,40,19,21,36,0,aria_complementary_labelled;element_tabbable_visible;form_submit_button_exists;input_label_exists;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;style_viewport_resizable;text_block_heading;widget_tabbable_exists,,false,0,0,0,0,0,0,,"page.addScriptTag: Executing inline script violates the following Content Security Policy directive 'script-src 'self' 'nonce-ZDdjNDc2NTktMDQ2YS00ZDg3LTgyZTctMmZhMjU2Mjk4MjQw' https://statistiek.rijksoverheid.nl https://*.rijksoverheid.nl https://*.platformrijksoverheid.nl https://*.contenttoolsrijksoverheid.nl'. Either the 'unsafe-inline' keyword, a hash ('sha256-KqJA1m/a7A+KctYBKJR75bChscDI9FIV+NeO58+zJmA='), or a nonce ('nonce-...') is required to enable inline execution. The action has been blocked.",true,352,10,46,3,QW-ACT-R30;QW-ACT-R76,,56,,Diversiteit en inclusie bij personeel Rijksoverheid | Rijksoverheid.nl
357,https://www.rijksoverheid.nl,chromium,both,mobile-landscape,844,390,https://www.rijksoverheid.nl/vraag-en-antwoord/scheiden/checklist-ouderschapsplan-maken,https://www.rijksoverheid.nl/vraag-en-antwoord/scheiden/checklist-ouderschapsplan-maken,200,true,false,37891,true,565,22,0,48,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r73,,true,1094,0,0,86,,,true,1640,40,18,22,37,0,aria_complementary_labelled;element_tabbable_visible;form_submit_button_exists;input_label_exists;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;style_viewport_resizable;text_block_heading;widget_tabbable_exists,,false,0,0,0,0,0,0,,"page.addScriptTag: Executing inline script violates the following Content Security Policy directive 'script-src 'self' 'nonce-OGE1N2UyOTItNjVkNC00ZjgxLThmZWItM2JjNzQ4NWY4ZTEy' https://statistiek.rijksoverheid.nl https://*.rijksoverheid.nl https://*.platformrijksoverheid.nl https://*.contenttoolsrijksoverheid.nl'. Either the 'unsafe-inline' keyword, a hash ('sha256-KqJA1m/a7A+KctYBKJR75bChscDI9FIV+NeO58+zJmA='), or a nonce ('nonce-...') is required to enable inline execution. The action has been blocked.",true,341,8,47,2,QW-ACT-R30;QW-ACT-R76,,45,,Ouderschapsplan maken: maak een overzicht van wat u moet weten en regelen | Rijksoverheid.nl
